film_id,title,description,release_year,language_id,rental_duration,rental_rate,length,replacement_cost,rating,special_features
1,academy dinosaur,a epic drama of a feminist and a mad scientist who must battle a teacher in the canadian rockies,2006,1,6,0.99,86,20.99,PG,"deleted scenes,behind the scenes"
2,ace goldfinger,a astounding epistle of a database administrator and a explorer who must find a car in ancient china,2006,1,3,4.99,48,12.99,G,"trailers,deleted scenes"
3,adaptation holes,a astounding reflection of a lumberjack and a car who must sink a lumberjack in a baloon factory,2006,1,7,2.99,50,18.99,NC-17,"trailers,deleted scenes"
4,affair prejudice,a fanciful documentary of a frisbee and a lumberjack who must chase a monkey in a shark tank,2006,1,5,2.99,117,26.99,G,"commentaries,behind the scenes"
5,african egg,a fast-paced documentary of a pastry chef and a dentist who must pursue a forensic psychologist in the gulf of mexico,2006,1,6,2.99,130,22.99,G,deleted scenes
6,agent truman,a intrepid panorama of a robot and a boy who must escape a sumo wrestler in ancient china,2006,1,3,2.99,169,17.99,PG,deleted scenes
7,airplane sierra,a touching saga of a hunter and a butler who must discover a butler in a jet boat,2006,1,6,4.99,62,28.99,PG-13,"trailers,deleted scenes"
8,airport pollock,a epic tale of a moose and a girl who must confront a monkey in ancient india,2006,1,6,4.99,54,15.99,R,trailers
9,alabama devil,a thoughtful panorama of a database administrator and a mad scientist who must outgun a mad scientist in a jet boat,2006,1,3,2.99,114,21.99,PG-13,"trailers,deleted scenes"
10,aladdin calendar,a action-packed tale of a man and a lumberjack who must reach a feminist in ancient china,2006,1,6,4.99,63,24.99,NC-17,"trailers,deleted scenes"
11,alamo videotape,a boring epistle of a butler and a cat who must fight a pastry chef in a mysql convention,2006,1,6,0.99,126,16.99,G,"commentaries,behind the scenes"
12,alaska phantom,a fanciful saga of a hunter and a pastry chef who must vanquish a boy in australia,2006,1,6,0.99,136,22.99,PG,"commentaries,deleted scenes"
13,ali forever,a action-packed drama of a dentist and a crocodile who must battle a feminist in the canadian rockies,2006,1,4,4.99,150,21.99,PG,"deleted scenes,behind the scenes"
14,alice fantasia,a emotional drama of a a shark and a database administrator who must vanquish a pioneer in soviet georgia,2006,1,6,0.99,94,23.99,NC-17,"trailers,deleted scenes,behind the scenes"
15,alien center,a brilliant drama of a cat and a mad scientist who must battle a feminist in a mysql convention,2006,1,5,2.99,46,10.99,NC-17,"trailers,commentaries,behind the scenes"
16,alley evolution,a fast-paced drama of a robot and a composer who must battle a astronaut in new orleans,2006,1,6,2.99,180,23.99,NC-17,"trailers,commentaries"
17,alone trip,a fast-paced character study of a composer and a dog who must outgun a boat in an abandoned fun house,2006,1,3,0.99,82,14.99,R,"trailers,behind the scenes"
18,alter victory,a thoughtful drama of a composer and a feminist who must meet a secret agent in the canadian rockies,2006,1,6,0.99,57,27.99,PG-13,"trailers,behind the scenes"
19,amadeus holy,a emotional display of a pioneer and a technical writer who must battle a man in a baloon,2006,1,6,0.99,113,20.99,PG,"commentaries,deleted scenes,behind the scenes"
20,amelie hellfighters,a boring drama of a woman and a squirrel who must conquer a student in a baloon,2006,1,4,4.99,79,23.99,R,"commentaries,deleted scenes,behind the scenes"
21,american circus,a insightful drama of a girl and a astronaut who must face a database administrator in a shark tank,2006,1,3,4.99,129,17.99,R,"commentaries,behind the scenes"
22,amistad midsummer,a emotional character study of a dentist and a crocodile who must meet a sumo wrestler in california,2006,1,6,2.99,85,10.99,G,"commentaries,behind the scenes"
23,anaconda confessions,a lacklusture display of a dentist and a dentist who must fight a girl in australia,2006,1,3,0.99,92,9.99,R,"trailers,deleted scenes"
24,analyze hoosiers,a thoughtful display of a explorer and a pastry chef who must overcome a feminist in the sahara desert,2006,1,6,2.99,181,19.99,R,"trailers,behind the scenes"
25,angels life,a thoughtful display of a woman and a astronaut who must battle a robot in berlin,2006,1,3,2.99,74,15.99,G,trailers
26,annie identity,a amazing panorama of a pastry chef and a boat who must escape a woman in an abandoned amusement park,2006,1,3,0.99,86,15.99,G,"commentaries,deleted scenes"
27,anonymous human,a amazing reflection of a database administrator and a astronaut who must outrace a database administrator in a shark tank,2006,1,7,0.99,179,12.99,NC-17,"deleted scenes,behind the scenes"
28,anthem luke,a touching panorama of a waitress and a woman who must outrace a dog in an abandoned amusement park,2006,1,5,4.99,91,16.99,PG-13,"deleted scenes,behind the scenes"
29,antitrust tomatoes,a fateful yarn of a womanizer and a feminist who must succumb a database administrator in ancient india,2006,1,5,2.99,168,11.99,NC-17,"trailers,commentaries,deleted scenes"
30,anything savannah,a epic story of a pastry chef and a woman who must chase a feminist in an abandoned fun house,2006,1,4,2.99,82,27.99,R,"trailers,deleted scenes,behind the scenes"
31,apache divine,a awe-inspiring reflection of a pastry chef and a teacher who must overcome a sumo wrestler in a u-boat,2006,1,5,4.99,92,16.99,NC-17,"commentaries,deleted scenes,behind the scenes"
